MONTH,ERA5,AWI,BCC,CESM2,CMCC_C,CMCC_E,CNRM,EARTH,EARTH_C,EARTH_V,GFDL_C,GFDL_E,HADGEM,INM,MPI,MRI,NOR,TAI,VAR,PERIOD
I,-14.462,-14.716,-17.231,-9.5028,-7.9647,-9.9736,-6.8847,-17.231,-14.186,-13.728,-15.07,-13.183,-9.7747,-17.236,-13.126,-25.703,-9.5477,-8.0471,H,1981_2005
II,-5.8838,-2.3824,-14.439,-3.0691,-0.81364,-0.74937,0.99317,-9.1212,-8.2286,-9.0485,-4.9876,-7.384,-4.8762,-10.863,-2.0392,-20.028,-5.8709,1.9128,H,1981_2005
III,6.4204,9.6042,-1.6383,16.767,15.912,14.907,13.74,-0.42444,2.0231,2.9532,8.8009,-0.097628,8.4384,5.618,8.6545,-3.1766,15.061,21.308,H,1981_2005
IV,21.353,24.009,12.323,40.785,31.162,33.048,33.641,17.648,14.907,16.712,22.026,8.9271,22.785,26.276,25.504,16.202,40.456,39.084,H,1981_2005
V,22.151,28.12,29.327,37.53,39.642,39.739,44.759,27.305,26.382,24.895,28.284,16.837,27.314,32.991,30.361,27.06,42.37,42.66,H,1981_2005
VI,21.651,24.602,39.781,38.602,40.955,41.73,53.222,29.719,30.355,27.211,31.008,25.043,30.513,45.018,24.48,30.169,40.431,43.33,H,1981_2005
VII,21.075,25.841,47.057,39.352,48.344,43.661,60.049,27.032,31.703,28.696,29.385,22.436,32.165,60.976,24.14,25.938,44.564,48.147,H,1981_2005
VIII,18.592,26.39,41.624,42.543,43.21,41.248,51.264,22.913,23.642,23.375,18.9,12.894,27.133,57.719,22.829,13.631,45.619,40.022,H,1981_2005
IX,9.219,13.601,22.191,23.517,26.177,25.535,29.966,14.157,12.829,14.32,6.973,0.90751,17.682,24.382,8.0807,1.4518,28.427,25.91,H,1981_2005
X,-1.5498,-2.5397,-3.1087,6.269,7.6469,6.7686,6.1228,-1.1691,-0.17786,-1.3762,-4.3688,-6.1905,4.6938,-1.8177,-2.0827,-12.575,6.3627,9.5847,H,1981_2005
XI,-8.5742,-11.977,-18.39,-6.8403,-6.4176,-4.9094,-6.8115,-10.152,-10.623,-10.903,-13.108,-12.076,-4.9698,-15.327,-9.8668,-23.098,-5.7902,-4.6718,H,1981_2005
XII,-14.471,-14.496,-17.732,-10.202,-10.478,-10.682,-8.9211,-15.554,-15.537,-13.559,-16.189,-17.032,-10.24,-18.67,-15.276,-25.512,-9.9281,-8.1222,H,1981_2005
I,NA,-18.167,-21.746,-12.038,-11.097,-10.91,-8.4515,-16.287,-15.035,-13.738,-15.75,-17.053,-12.94,-15.43,-14.037,-27.395,-9.917,-8.5133,H,2076_2100
II,NA,-7.9018,-17.059,-2.3966,0.16282,-0.54789,0.5333,-10.606,-10.154,-7.4851,-5.331,-10.155,-3.6828,-6.2245,-7.7976,-18.224,-2.7767,0.71705,H,2076_2100
III,NA,4.669,-2.5935,19.592,19.791,18.79,18.082,0.57256,-0.79215,-0.27554,13.245,0.33855,7.7096,13.254,4.458,1.1282,20.797,23.398,H,2076_2100
IV,NA,25.159,15.426,43.866,38.55,37.61,33.594,11.147,12.267,10.337,29.686,10.047,24.751,25.394,21.188,19.52,44.141,44.973,H,2076_2100
V,NA,28.568,42.289,49.647,50.185,50.494,47.793,20.392,23.364,19.549,40.52,23.511,37.18,32.907,31.281,31.296,53.516,53.076,H,2076_2100
VI,NA,38.592,64.907,56.628,61.174,55.849,60.285,31.823,37.24,29.926,44.568,30.666,50.41,55.422,34.951,34.697,59.539,63.38,H,2076_2100
